basis_columns,prediction_columns,rmse,,
['Vehicle Category'],"['Fuel Type', 'Electric Mile Range', 'Model Year', 'GVWR Class', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'CPI']",8828.996546,,
['Vehicle Category'],"['CPI', 'Electric Mile Range', 'Model Year', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Fuel Type', 'Region']",8893.346387,,
['Vehicle Category'],"['Electric Mile Range', 'CPI', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Fuel Type', 'Region', 'Model Year']",8940.485531,,
"['GVWR Class', 'Vehicle Category']","['Region', 'Model Year', 'Fuel Type', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range', 'CPI']",8964.187114,,
"['Vehicle Category', 'Fuel Type']","['GVWR Class', 'CPI', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'Fuel Technology']",9160.06581,,
"['GVWR Class', 'Fuel Type']","['CPI', 'Vehicle Category', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'Model Year']",9334.00901,,
"['Number of Vehicles Registered at the Same Address', 'Vehicle Category']","['GVWR Class', 'CPI', 'Model Year', 'Fuel Technology', 'Fuel Type']",9442.058563,,
"['Electric Mile Range', 'GVWR Class']","['Fuel Technology', 'Vehicle Category', 'Fuel Type', 'Number of Vehicles Registered at the Same Address', 'Model Year', 'CPI']",9570.256429,,
"['GVWR Class', 'Electric Mile Range']","['Model Year', 'CPI', 'Vehicle Category', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'Fuel Type']",9589.325785,,
['GVWR Class'],"['Fuel Technology', 'Vehicle Category', 'Model Year', 'Number of Vehicles Registered at the Same Address', 'Fuel Type', 'CPI', 'Electric Mile Range']",9651.250311,,
['GVWR Class'],"['Fuel Type', 'Model Year', 'Fuel Technology', 'Electric Mile Range', 'CPI', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category']",9672.301337,,
['GVWR Class'],"['Electric Mile Range', 'Region', 'Number of Vehicles Registered at the Same Address', 'Fuel Type', 'Model Year', 'Vehicle Category', 'CPI']",9704.202748,,
['Vehicle Category'],"['Fuel Technology', 'Region', 'GVWR Class', 'Model Year', 'Number of Vehicles Registered at the Same Address', 'Fuel Type', 'Electric Mile Range']",9732.115326,,
['GVWR Class'],"['Vehicle Category', 'Model Year', 'Region', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'CPI', 'Fuel Type']",9778.895699,,
"['Region', 'GVWR Class']","['CPI', 'Fuel Type', 'Fuel Technology', 'Electric Mile Range', 'Model Year', 'Vehicle Category']",9850.844846,,
['GVWR Class'],"['Region', 'Number of Vehicles Registered at the Same Address', 'Fuel Type', 'Model Year', 'Vehicle Category', 'CPI', 'Fuel Technology']",9927.300933,,
"['Vehicle Category', 'Fuel Technology']","['CPI', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'Region', 'Fuel Type']",9982.297298,,
['Region'],"['Fuel Technology', 'Fuel Type', 'GVWR Class', 'CPI', 'Vehicle Category', 'Model Year', 'Electric Mile Range']",10088.91299,,
['Region'],"['Fuel Technology', 'Vehicle Category', 'GVWR Class', 'Model Year', 'Fuel Type', 'Number of Vehicles Registered at the Same Address', 'CPI']",10110.76988,,
"['Region', 'Electric Mile Range', 'Vehicle Category']","['Fuel Type', 'CPI', 'GVWR Class', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address']",10116.78082,,
"['Region', 'Electric Mile Range', 'Vehicle Category']","['Fuel Type', 'CPI', 'GVWR Class', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address']",10116.78082,,
"['Region', 'Electric Mile Range', 'Vehicle Category']","['Fuel Type', 'CPI', 'GVWR Class', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address']",10116.78082,,
"['Vehicle Category', 'Fuel Technology']","['Electric Mile Range', 'Fuel Type', 'GVWR Class', 'Number of Vehicles Registered at the Same Address', 'CPI', 'Region']",10122.17551,,
['Region'],"['Fuel Type', 'GVWR Class', 'Vehicle Category', 'Model Year', 'CPI', 'Fuel Technology']",10127.35518,,
['Region'],"['Vehicle Category', 'Fuel Technology', 'Electric Mile Range', 'GVWR Class', 'CPI', 'Model Year', 'Fuel Type']",10155.82256,,
['Region'],"['GVWR Class', 'Fuel Type', 'Vehicle Category', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'Model Year']",10177.27844,,
"['Vehicle Category', 'Electric Mile Range']","['Region', 'CPI', 'GVWR Class', 'Fuel Type']",10187.68421,,
"['Vehicle Category', 'Electric Mile Range']","['Fuel Technology', 'GVWR Class', 'Region', 'Fuel Type', 'CPI']",10187.80366,,
"['Vehicle Category', 'Electric Mile Range']","['Fuel Technology', 'Fuel Type', 'CPI', 'GVWR Class']",10187.81999,,
['Region'],"['Vehicle Category', 'Fuel Technology', 'Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Model Year', 'CPI', 'Fuel Type']",10190.62973,,
['Vehicle Category'],"['GVWR Class', 'Electric Mile Range', 'Fuel Type', 'CPI']",10192.00654,,
['Region'],"['GVWR Class', 'Vehicle Category', 'Fuel Type', 'Fuel Technology', 'CPI', 'Electric Mile Range', 'Model Year']",10245.80484,,
"['GVWR Class', 'Electric Mile Range']","['Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'Vehicle Category', 'Fuel Type', 'CPI']",10249.57289,,
['Region'],"['Fuel Type', 'Vehicle Category', 'Electric Mile Range', 'GVWR Class', 'Fuel Technology', 'Model Year', 'CPI']",10282.6554,,
['Fuel Type'],"['CPI', 'GVWR Class', 'Region', 'Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'Electric Mile Range', 'Model Year']",10317.1324,,
['Vehicle Category'],"['Number of Vehicles Registered at the Same Address', 'Region', 'CPI', 'Fuel Technology', 'GVWR Class', 'Fuel Type', 'Electric Mile Range']",10324.71199,,
['Fuel Type'],"['Model Year', 'Number of Vehicles Registered at the Same Address', 'Electric Mile Range', 'CPI', 'Vehicle Category', 'GVWR Class']",10333.53244,,
"['Region', 'Fuel Type']","['GVWR Class', 'Electric Mile Range', 'Vehicle Category', 'CPI', 'Model Year', 'Fuel Technology']",10334.0114,,
"['Region', 'Vehicle Category']","['Model Year', 'Number of Vehicles Registered at the Same Address', 'Fuel Technology', 'Fuel Type', 'CPI']",10336.69368,,
['Vehicle Category'],"['CPI', 'Fuel Type', 'Fuel Technology', 'GVWR Class', 'Electric Mile Range', 'Number of Vehicles Registered at the Same Address']",10346.86175,,
"['Vehicle Category', 'Region']","['Model Year', 'Fuel Technology', 'Electric Mile Range', 'CPI', 'Number of Vehicles Registered at the Same Address', 'Fuel Type']",10358.78981,,
"['Region', 'Vehicle Category']","['Electric Mile Range', 'Fuel Type', 'CPI', 'Number of Vehicles Registered at the Same Address', 'GVWR Class']",10361.37603,,
['Region'],"['Number of Vehicles Registered at the Same Address', 'Vehicle Category', 'Model Year', 'GVWR Class', 'Fuel Type', 'Electric Mile Range']",10393.00241,,
['Region'],"['Vehicle Category', 'Fuel Type', 'Fuel Technology', 'Model Year', 'Number of Vehicles Registered at the Same Address', 'GVWR Class', 'Electric Mile Range']",10423.20712,,
"['Number of Vehicles Registered at the Same Address', 'Fuel Technology']","['GVWR Class', 'Vehicle Category', 'Model Year', 'Electric Mile Range', 'Fuel Type', 'CPI']",10463.93236,,
"['Fuel Technology', 'Number of Vehicles Registered at the Same Address']","['Model Year', 'Electric Mile Range', 'CPI', 'Vehicle Category', 'GVWR Class', 'Fuel Type']",10467.28752,,
['Region'],"['Vehicle Category', 'CPI', 'Fuel Technology', 'Fuel Type', 'Electric Mile Range', 'Model Year', 'GVWR Class']",10492.18783,,
