iter	RMSE
0	76476.91848
1	73308.2523
2	70241.27412
3	18458.03546
4	18372.62434
5	18209.69191
59388.75557
7	57200.91912
8	55070.34119
9	53396.85429
10	51691.22588
11	50004.07246
12	48282.13766
13	46394.70971
14	44600.85278
15	42896.68581
16	41420.49967
17	18228.71016
18	18215.13731
19	18202.10292
20	35903.23727
21	34843.90514
22	33735.63274
23	32566.98179
24	31461.37546
25	30637.63327
26	29633.41541
27	28685.20311
28	27867.37283
29	27042.88422
30	26265.70917
31	25485.80512
32	24910.94854
33	24221.7557
34	23543.17083
35	22984.78659
36	22437.4089
37	21858.12309
38	21348.95978
39	20864.6378
40	20486.24505
41	20006.09353
42	19598.62868
43	19221.67348
44	18965.661
45	18583.77103
46	18233.5726
47	17927.66062
48	17681.52602
49	15683.99506
50	17188.27927
51	16916.96601
52	16653.782
53	16350.60078
54	16079.13593
55	15878.43744
56	15753.96801
57	15569.09977
58	15318.90954
59	15126.63588
60	15004.9861	14836.2048
62	14833.16411
2882
63	14692.82077
64	14484.16791
65	14322.13474
66	14193.8239
67	14017.80681
68	13949.43578
69	13795.98028
70	13668.51067
71	13550.55689
72	13446.56877
73	13346.24577
74	13268.09903
75	13167.0364
76	13048.99542
77	12941.99467
78	12674.43512
79	12443.58684
80	12228.51253
81	1201281	17974.6261
0.94551
83	11674.27654
84	11547.10085
85	11403.0025
86	11261.6575
87	11085.03464
88	10921.73131
89	10768.91901
90	10657.27958
91	10509.76195
92	10386.85277
93	10275.73362
94	10239.66782
