iter	Passed	Remaining
0	0	622
1	1	560
2	2	547
3	2	522
4	3	530
5	4	527
6	4	520
7	5	528
8	6	516
9	6	512
10	7	504
11	7	500
12	8	490
13	9	488
14	9	487
15	10	487
16	11	486
17	11	481
18	12	481
19	12	475
20	13	470
21	13	471
22	14	474
23	15	471
24	15	465
25	16	468
26	16	464
27	17	466
28	18	461
29	18	457
30	19	455
31	19	450
32	20	445
33	20	442
34	21	443
35	21	437
36	21	432
37	22	428
38	22	426
39	23	424
40	23	422
41	24	425
42	25	423
43	25	422
44	26	420
45	26	419
46	27	415
47	27	416
48	28	416
49	29	416
50	29	418
51	30	417
52	30	415
53	31	412
54	31	410
55	32	409
56	32	409
57	33	408
58	34	409
59	34	407
60	35	406
61	35	404
62	36	403
63	36	401
64	36	399
65	37	399
66	38	400
67	38	397
68	39	395
69	39	393
70	40	392
71	40	392
72	41	391
73	41	391
74	42	392
75	43	392
76	43	390
77	44	390
78	44	390
79	45	389
80	45	388
81	46	389
82	47	389
83	47	389
84	48	390
85	49	389
86	49	388
87	50	387
88	50	386
89	51	386
90	51	384
91	52	382
92	52	381
93	53	382
94	53	380
95	54	381
96	55	380
97	55	379
98	56	378
99	56	377
100	57	377
101	57	377
102	58	375
103	58	374
104	59	375
105	59	373
106	60	372
107	60	372
108	61	371
109	61	370
110	62	369
111	62	368
112	63	369
113	64	369
114	65	369
115	65	367
116	65	366
117	66	364
118	66	364
119	67	364
120	67	363
121	68	362
122	68	361
123	69	361
124	70	360
125	70	360
126	71	358
127	71	357
128	71	356
129	72	355
130	72	354
131	73	353
132	73	352
133	74	352
134	74	351
135	75	350
136	76	350
137	76	349
138	77	348
139	77	349
140	78	348
141	79	348
142	79	349
143	80	349
144	81	348
145	81	347
146	82	347
147	82	346
148	83	345
149	83	344
150	84	344
151	84	343
152	85	343
153	86	343
154	86	342
155	87	342
156	87	341
157	88	340
158	88	340
159	89	339
160	90	339
161	90	339
162	91	338
163	91	337
164	92	337
165	92	336
166	93	335
167	94	335
168	94	335
169	95	334
170	95	334
171	96	333
172	96	332
173	97	332
174	97	331
175	98	330
176	98	329
177	99	328
178	99	328
179	100	327
180	101	327
181	101	326
182	102	326
183	102	325
184	102	324
185	103	324
186	104	323
187	104	323
188	105	322
189	105	321
190	106	321
191	106	320
192	107	319
193	107	319
194	108	318
195	109	318
196	109	318
197	110	318
198	111	317
199	111	317
200	112	316
201	112	316
202	113	315
203	113	314
204	114	313
205	114	313
206	115	313
207	116	313
208	116	312
209	117	311
210	117	311
211	118	310
212	119	310
213	119	309
214	120	308
215	120	307
216	121	307
217	121	307
218	122	306
219	122	305
220	122	304
221	123	303
222	123	302
223	124	302
224	124	301
225	125	300
226	125	300
227	126	299
228	126	298
229	127	297
230	127	297
231	128	296
232	129	296
233	129	295
234	130	294
235	130	294
236	131	293
237	131	293
238	132	292
239	132	292
240	133	291
241	134	291
242	134	290
243	135	289
244	135	289
245	136	288
246	136	288
247	137	287
248	137	287
249	138	286
250	138	286
251	139	285
252	139	284
253	140	283
254	140	283
255	141	282
256	142	282
257	142	281
258	143	281
259	143	281
260	144	280
261	144	279
262	145	279
263	145	278
264	146	278
265	147	277
266	147	276
267	147	275
268	148	275
269	149	274
270	149	274
271	150	273
272	150	273
273	151	272
274	151	272
275	152	271
276	152	270
277	153	270
278	153	269
279	154	269
280	155	268
281	155	268
282	156	267
283	156	266
284	157	266
285	157	266
286	158	265
287	158	264
288	159	264
289	159	263
290	160	262
291	160	262
292	161	261
293	161	261
294	162	260
295	163	260
296	163	259
